# phase_manifest.tsv — AUTHORITATIVE EXECUTION ORDER for PLAN-20260608-ISSUE1585
# All phases MUST execute in this order. The 'Phase' column (e.g., '00a', '02b') defines the sequence.
# Format: Phase\tID-Name\tDescription\tProduces\tRequirements
00	overview	Plan Overview (Non-Executable)	Phase list, architecture decisions, missing-packages approval, interface/adapter mapping — this phase is NON-EXECUTABLE; P00a is the first executable phase	N/A	REQ-PKG-001
00a	preflight-verification	Preflight Verification	Verify package existence, import graph, release baseline, and record approved tools-owned interface/core-adapter path for missing packages; capture issue body/comments with traceability table	preflight results, approved decisions, issue traceability	REQ-PKG-001, REQ-REL-001, REQ-TRACEABILITY
01	analysis	Domain And Dependency Analysis	Complete dependency graph, file inventory, 18-group consumer classification (including vi.mock, dynamic import, new URL patterns), and release impact analysis	analysis updates, consumer inventory	REQ-PKG-001, REQ-MOVE-001, REQ-DEP-001
01a	analysis-verification	Analysis Verification	Verify analysis covers every tool file, all 18 consumer groups, missing packages, and release updates	review report	REQ-DEP-001, REQ-CLEAN-001
02	pseudocode	Contract-First Pseudocode	Create numbered pseudocode with exact interface names, provider file rewrites, and release file edits	pseudocode files	REQ-API-001, REQ-DEP-001, REQ-REL-001
02a	pseudocode-verification	Pseudocode Verification	Verify pseudocode names all 15 tools-owned interface files, 5+ provider files, 6+ release files	pseudocode verification	REQ-API-001
02b	integration-contract	Integration Contract Definition	Define exact 15 tools-owned interface files, 14 mandatory + 1 conditional core adapter files, method signatures, and which tools consume each interface	analysis/integration-contract.md	REQ-API-001, REQ-DEP-001, REQ-TEST-001
02c	integration-contract-verification	Integration Contract Verification	Verify contract boundaries are cycle-free and reachable through existing runtime paths	contract verification	REQ-DEP-001, REQ-TEST-001
03	contracts-stub	Scaffold + Tool Contract Stubs	Create packages/tools skeleton + all 15 tools-owned interface stubs; no core-local interfaces consumed by tools	scaffold + interface stubs	REQ-PKG-001, REQ-API-001
03a	contracts-stub-verification	Scaffold + Contract Stub Verification	Verify scaffold exists, all 15 stubs compile, zero forbidden imports, no core-local interfaces	scaffold + stub verification	REQ-PKG-001, REQ-API-001, REQ-DEP-001
04	contracts-tdd	Contract And Boundary TDD	Write behavioral tests for interface contracts, forbidden imports, and package boundaries	failing tests	REQ-TEST-001, REQ-DEP-001
04a	contracts-tdd-verification	Contract Test Verification	Verify tests are behavioral, fail naturally, avoid NotYetImplemented/mock theater	test verification	REQ-TEST-001
05	contracts-impl	Contract Implementation	Implement formatters, utils, and self-contained contract modules with zero core imports	implemented contracts	REQ-API-001
05a	contracts-impl-verification	Contract Implementation Verification	Verify zero forbidden imports, no package cycles, all contract tests pass	semantic verification	REQ-API-001, REQ-DEP-001
